Column1	Column2	Column3	Column4	Column5	Column6
SpeciesFile ContamW 2.0					
					
1/1	!start-of-file date				
31-Dec	!end-of-file date				
4					
PM2.5					
NO2					
SO2					
CO					
					
					
!Date	Time	PM2.5	NO2	SO2	CO
1/1	00:00:00	3.70995E-18	8.33056E-08	2.46678E-09	2.74086E-06
1/1	24:00:00	2.8145E-18	1.01711E-07	5.54817E-09	2.69934E-06
1/2	24:00:00	2.17862E-18	9.61296E-08	5.98837E-09	2.12625E-06
1/3	24:00:00	2.67045E-18	9.24585E-08	6.16279E-09	1.87708E-06
1/4	24:00:00	1.9234E-18	5.1196E-08	6.92691E-09	1.66113E-08
1/5	24:00:00	2.42569E-18	5.54983E-08	5.27409E-09	1.0299E-06
1/6	24:00:00	1.46732E-18	2.72093E-08	2.14286E-09	7.72425E-07
1/7	24:00:00	1.94379E-18	3.85465E-08	2.62458E-09	1.1794E-06
1/8	24:00:00	1.29377E-18	4.28156E-08	5.09136E-09	1.04651E-06
1/9	24:00:00	1.76467E-18	5.96678E-08	7.201E-09	1.49502E-06
1/10	24:00:00	2.6536E-18	6.49668E-08	1.21595E-08	1.58638E-06
1/11	24:00:00	4.00989E-18	6.96761E-08	8.46346E-09	2.39203E-06
1/12	24:00:00	2.52273E-18	2.42193E-08	1.73588E-09	1.37874E-06
1/13	24:00:00	1.44965E-18	1.42857E-08	7.15947E-09	1.12957E-06
1/14	24:00:00	1.45563E-18	1.73339E-08	5.60631E-09	1.29568E-06
1/15	24:00:00	1.50456E-18	2.18771E-08	5.1495E-09	1.53654E-06
1/16	24:00:00	1.0853E-18	1.69435E-08	5.39037E-09	1.25415E-06
1/17	24:00:00	1.93536E-18	3.8015E-08	3.87874E-09	1.67774E-06
1/18	24:00:00	1.70175E-18	1.95756E-07	8.98671E-09	2.32558E-07
1/19	24:00:00	3.0965E-18	3.99169E-08	5.77243E-09	2.32558E-07
1/20	24:00:00	2.60739E-18	2.63206E-08	2.92359E-09	1.29568E-06
1/21	24:00:00	2.94782E-18	3.23007E-08	5.11628E-09	1.95183E-06
1/22	24:00:00	1.76304E-18	9.30233E-09	5.57309E-09	1.12126E-06
1/23	24:00:00	1.53731E-18	1.21512E-08	7.59967E-09	1.42857E-06
1/24	24:00:00	2.20961E-18	2.36794E-08	9.27741E-09	2.0515E-06
1/25	24:00:00	1.65378E-18	2.50083E-08	5.40698E-09	2.14286E-06
1/26	24:00:00	1.5066E-18	1.49751E-08	4.21096E-09	1.67774E-06
1/27	24:00:00	7.28564E-19	5.2907E-09	2.74086E-09	1.10465E-06
1/28	24:00:00	1.0073E-18	8.37209E-09	3.43023E-09	1.10465E-06
1/29	24:00:00	2.04925E-18	1.06063E-08	1.19934E-08	1.07143E-06
1/30	24:00:00	1.50673E-18	8.0897E-09	8.04817E-09	1.3206E-06
1/31	24:00:00	1.50931E-18	1.00831E-08	6.62791E-09	1.47841E-06
2/1	24:00:00	1.41513E-18	1.01661E-08	5.41528E-09	1.38704E-06
2/2	24:00:00	1.63896E-18	9.93355E-09	7.56645E-09	1.46179E-06
2/3	24:00:00	1.62891E-18	1.68854E-08	3.21429E-09	1.81063E-06
2/4	24:00:00	2.16191E-18	1.55814E-08	1.00748E-08	1.84385E-06
2/5	24:00:00	1.00186E-18	7.71595E-09	8.49668E-09	1.36213E-06
2/6	24:00:00	1.60553E-18	1.33056E-08	9.09468E-09	1.81894E-06
2/7	24:00:00	1.57441E-18	1.12874E-08	1.0706E-08	1.63621E-06
2/8	24:00:00	1.27407E-18	9.86711E-09	7.51661E-09	1.56146E-06
2/9	24:00:00	1.96023E-18	1.27243E-08	8.32226E-09	1.96013E-06
2/10	24:00:00	3.22846E-18	1.80648E-08	9.12791E-09	2.07641E-06
2/11	24:00:00	2.34184E-18	1.0299E-08	1.02492E-08	1.73588E-06
2/12	24:00:00	1.2545E-18	6.44518E-09	7.60797E-09	1.26246E-06
2/13	24:00:00	1.02388E-18	5.34053E-09	4.82558E-09	1.12126E-06
2/14	24:00:00	9.71962E-19	6.89369E-09	9.82558E-09	1.28738E-06
2/15	24:00:00	1.45699E-18	8.93688E-09	1.41694E-08	1.60299E-06
2/16	24:00:00	1.59425E-18	1.0515E-08	1.1196E-08	1.67774E-06
2/17	24:00:00	1.17418E-18	6.07143E-09	1.24917E-08	1.28738E-06
2/18	24:00:00	9.65846E-19	1.06977E-08	6.95183E-09	2.02658E-06
2/19	24:00:00	8.66367E-19	5.8804E-09	2.73256E-09	1.02159E-06
2/20	24:00:00	0	0	0	0
2/21	24:00:00	0	0	0	0
2/22	24:00:00	0	0	0	0
2/23	24:00:00	2.98302E-19	2.63289E-09	7.26744E-09	9.80066E-07
2/24	24:00:00	4.217E-19	2.57475E-09	1.08306E-08	1.04651E-06
2/25	24:00:00	5.37487E-19	2.28405E-09	6.33721E-09	1.12126E-06
2/26	24:00:00	4.12051E-19	1.28738E-09	3.16445E-09	7.14286E-07
2/27	24:00:00	4.11507E-19	1.1711E-09	1.96013E-09	6.64452E-07
2/28	24:00:00	4.36241E-19	1.04651E-09	1.79402E-09	5.89701E-07
2/29	24:00:00	5.96468E-19	2.59967E-09	1.90199E-09	1.57807E-06
3/1	24:00:00	1.68136E-18	3.04817E-09	4.79236E-09	1.42857E-06
3/2	24:00:00	1.49504E-18	2.48339E-09	6.93522E-09	1.37043E-06
3/3	24:00:00	6.88609E-19	1.01329E-09	4.4186E-09	7.72425E-07
3/4	24:00:00	2.71258E-19	6.90199E-09	5.5814E-09	4.56811E-07
3/5	24:00:00	1.68653E-19	1.56312E-08	9.96678E-10	3.40532E-07
3/6	24:00:00	3.20454E-19	1.83887E-08	1.83555E-09	6.22924E-07
3/7	24:00:00	3.2589E-19	2.14452E-08	5.57309E-09	8.72093E-07
3/8	24:00:00	3.97781E-19	2.21844E-08	4.79236E-09	8.22259E-07
3/9	24:00:00	3.84871E-19	1.58721E-08	3.96179E-09	7.30897E-07
3/10	24:00:00	3.46275E-19	1.2799E-08	2.27575E-09	5.7309E-07
3/11	24:00:00	6.37646E-19	1.64452E-08	2.68272E-09	5.98007E-07
3/12	24:00:00	9.62449E-19	2.10382E-08	3.96179E-09	6.47841E-07
3/13	24:00:00	3.95879E-19	1.76495E-08	2.98173E-09	6.14618E-07
3/14	24:00:00	4.29446E-19	2.14203E-08	6.57807E-09	5.39867E-07
3/15	24:00:00	4.11779E-19	2.25415E-08	6.68605E-09	7.89037E-07
3/16	24:00:00	3.99956E-19	2.25415E-08	1.14867E-08	8.3887E-07
3/17	24:00:00	6.05302E-19	2.6196E-08	1.11794E-08	1.00498E-06
3/18	24:00:00	6.72709E-19	3.65116E-08	9.78405E-09	1.19601E-06
3/19	24:00:00	5.66706E-19	1.86628E-08	6.41196E-09	8.55482E-07
3/20	24:00:00	3.56875E-19	1.94934E-08	7.27575E-09	8.22259E-07
3/21	24:00:00	4.13954E-19	1.5407E-08	4.72591E-09	5.48173E-07
3/22	24:00:00	3.3717E-19	1.50914E-08	4.59302E-09	6.39535E-07
3/23	24:00:00	4.25505E-19	1.40781E-08	0.000000005	6.39535E-07
3/24	24:00:00	3.01156E-19	2.7201E-08	2.54983E-09	4.65116E-07
3/25	24:00:00	0	0	0	0
3/26	24:00:00	0	0	0	0
3/27	24:00:00	0	0	0	0
3/28	24:00:00	0	0	0	0
3/29	24:00:00	0	0	0	0
3/30	24:00:00	0	0	0	0
3/31	24:00:00	1.08856E-19	8.04402E-08	2.59136E-09	4.98339E-07
4/1	24:00:00	6.63603E-19	2.18605E-08	3.21429E-09	4.48505E-07
4/2	24:00:00	6.23241E-19	1.48837E-08	3.3804E-09	6.14618E-07
4/3	24:00:00	5.62357E-19	1.23422E-08	3.26412E-09	7.72425E-07
4/4	24:00:00	5.72142E-19	1.22591E-08	4.28571E-09	8.88704E-07
4/5	24:00:00	5.86955E-19	1.23007E-08	4.12791E-09	8.55482E-07
4/6	24:00:00	5.11802E-19	1.22425E-08	4.34385E-09	7.30897E-07
4/7	24:00:00	4.66275E-19	1.13953E-08	3.27243E-09	6.97674E-07
4/8	24:00:00	4.56355E-19	1.09219E-08	3.60465E-09	7.55814E-07
4/9	24:00:00	5.32323E-19	1.23671E-08	3.95349E-09	8.88704E-07
4/10	24:00:00	6.59662E-19	1.42525E-08	5.05814E-09	9.46844E-07
4/11	24:00:00	4.98212E-19	1.18854E-08	4.06146E-09	7.89037E-07
4/12	24:00:00	6.99617E-19	1.31146E-08	5.56478E-09	9.46844E-07
4/13	24:00:00	7.1973E-19	1.48837E-08	5.71429E-09	1.00498E-06
4/14	24:00:00	1.08884E-18	1.97841E-08	9.97508E-09	1.69435E-06
4/15	24:00:00	8.67183E-19	1.4402E-08	6.41196E-09	6.72757E-07
4/16	24:00:00	5.39934E-19	1.05565E-08	4.08638E-09	7.0598E-07
4/17	24:00:00	5.32595E-19	1.13787E-08	3.76246E-09	8.22259E-07
4/18	24:00:00	5.16423E-19	9.14452E-09	3.34718E-09	8.30565E-07
4/19	24:00:00	5.7554E-19	8.04817E-09	5.2907E-09	9.5515E-07
4/20	24:00:00	6.50421E-19	6.29568E-09	4.24419E-09	8.88704E-07
4/21	24:00:00	6.37646E-19	7.2093E-09	4.65116E-09	9.38538E-07
4/22	24:00:00	7.93796E-19	5.84718E-09	8.80399E-09	1.07143E-06
4/23	24:00:00	4.90873E-19	2.7608E-08	7.49169E-09	2.15947E-06
4/24	24:00:00	6.69175E-19	1.43605E-08	5.49834E-09	7.14286E-07
4/25	24:00:00	6.22969E-19	1.79236E-08	1.96761E-08	9.96678E-07
4/26	24:00:00	5.19277E-19	1.24252E-08	5.08306E-09	6.81063E-07
4/27	24:00:00	6.02584E-19	1.31894E-08	5.08306E-09	1.01329E-06
4/28	24:00:00	7.96514E-19	1.22841E-08	6.16279E-09	1.05482E-06
4/29	24:00:00	1.05799E-18	1.53156E-08	6.82724E-09	9.96678E-07
4/30	24:00:00	1.17935E-18	2.36296E-08	7.95681E-09	1.11296E-06
5/1	24:00:00	7.55064E-19	6.19601E-09	2.15698E-08	6.64452E-07
5/2	24:00:00	6.20115E-19	4.07807E-09	2.55814E-09	9.38538E-07
5/3	24:00:00	4.3298E-19	3.77907E-09	3.06478E-09	8.80399E-07
5/4	24:00:00	5.71734E-19	4.4103E-09	4.05316E-09	9.5515E-07
5/5	24:00:00	6.00545E-19	3.52159E-09	4.8505E-09	9.13621E-07
5/6	24:00:00	5.15743E-19	3.36379E-09	3.01495E-09	8.30565E-07
5/7	24:00:00	5.26751E-19	3.55482E-09	4.45183E-09	9.46844E-07
5/8	24:00:00	5.22946E-19	3.84551E-09	4.51827E-09	1.04651E-06
5/9	24:00:00	5.04735E-19	3.18937E-09	3.48837E-09	9.30233E-07
5/10	24:00:00	4.6845E-19	3.2309E-09	3.0897E-09	9.71761E-07
5/11	24:00:00	5.27567E-19	3.70432E-09	3.49668E-09	9.38538E-07
5/12	24:00:00	5.55154E-19	3.49668E-09	4.84219E-09	1.07143E-06
5/13	24:00:00	5.75268E-19	4.34385E-09	5.40698E-09	9.5515E-07
5/14	24:00:00	5.08541E-19	4.46013E-09	8.33887E-09	1.3206E-06
5/15	24:00:00	6.44577E-19	3.89535E-09	7.49169E-09	7.80731E-07
5/16	24:00:00	8.42177E-19	4.04485E-09	9.01163E-09	1.09635E-06
5/17	24:00:00	7.54249E-19	5.07475E-09	7.45017E-09	1.15449E-06
5/18	24:00:00	8.2084E-19	4.95017E-09	1.11877E-08	1.24585E-06
5/19	24:00:00	6.96899E-19	4.31894E-09	6.81894E-09	9.71761E-07
5/20	24:00:00	6.03127E-19	4.00332E-09	1.13372E-08	1.03821E-06
5/21	24:00:00	6.53547E-19	4.65116E-09	0.00000002	1.13787E-06
5/22	24:00:00	1.12811E-18	1.95598E-08	2.549E-08	1.57807E-06
5/23	24:00:00	6.51372E-19	4.1113E-09	1.05648E-08	7.0598E-07
5/24	24:00:00	5.84781E-19	3.33887E-09	1.02741E-08	9.80066E-07
5/25	24:00:00	7.9067E-19	4.92525E-09	1.17276E-08	1.0299E-06
5/26	24:00:00	7.58326E-19	4.46013E-09	6.77741E-09	9.30233E-07
5/27	24:00:00	7.91486E-19	3.60465E-09	2.75748E-09	9.63455E-07
5/28	24:00:00	4.83807E-19	3.32226E-09	1.78987E-08	9.46844E-07
5/29	24:00:00	4.32708E-19	4.47674E-09	1.24585E-08	1.07973E-06
5/30	24:00:00	4.90602E-19	3.18937E-09	2.15116E-09	5.56478E-07
5/31	24:00:00	5.08541E-19	3.25581E-09	2.65781E-09	1.12126E-06
6/1	24:00:00	5.57872E-19	3.16445E-09	3.28904E-09	1.07973E-06
6/2	24:00:00	6.83717E-19	4.2691E-09	4.4186E-09	1.18771E-06
6/3	24:00:00	7.73547E-19	3.90365E-09	3.6794E-09	1.20432E-06
6/4	24:00:00	6.12369E-19	3.6711E-09	2.96512E-09	1.23754E-06
6/5	24:00:00	5.30964E-19	3.07309E-09	2.54983E-09	1.21262E-06
6/6	24:00:00	6.82358E-19	2.74917E-09	4.16944E-09	1.39535E-06
6/7	24:00:00	7.52482E-19	3.6711E-09	4.65116E-09	1.31229E-06
6/8	24:00:00	7.5289E-19	3.37209E-09	4.84219E-09	1.7691E-06
6/9	24:00:00	9.67749E-19	5.63953E-09	5.64784E-09	1.68605E-06
6/10	24:00:00	7.19323E-19	3.34718E-09	3.72093E-09	2.10963E-06
6/11	24:00:00	8.00999E-19	5.15781E-09	2.23422E-09	2.10963E-06
6/12	24:00:00	7.43649E-19	2.82392E-09	3.0897E-09	2.22591E-06
6/13	24:00:00	7.90127E-19	2.48339E-09	2.03488E-09	2.56645E-06
6/14	24:00:00	9.78213E-19	3.6711E-09	3.99502E-09	1.84385E-06
6/15	24:00:00	9.37036E-19	2.72425E-09	3.06478E-09	2.02658E-06
6/16	24:00:00	7.52075E-19	4.56811E-09	2.53322E-09	0.0000025
6/17	24:00:00	6.30851E-19	2.83223E-09	2.59136E-09	2.68272E-06
6/18	24:00:00	7.43241E-19	2.43355E-09	1.29568E-09	3.04817E-06
6/19	24:00:00	7.27884E-19	2.54983E-09	2.77409E-09	1.78571E-06
6/20	24:00:00	6.33705E-19	2.46678E-09	3.70432E-09	2.32558E-06
6/21	24:00:00	6.23241E-19	2.66611E-09	2.14286E-09	2.63289E-06
6/22	24:00:00	5.89266E-19	2.799E-09	1.44518E-09	3.06478E-06
6/23	24:00:00	7.07363E-19	2.75748E-09	1.24585E-09	3.66279E-06
6/24	24:00:00	1.15393E-18	4.30233E-09	2.88206E-09	6.81063E-07
6/25	24:00:00	1.58854E-18	5.08306E-09	2.07641E-09	1.44518E-06
6/26	24:00:00	1.41636E-18	5.30731E-09	4.16944E-09	8.30565E-09
6/27	24:00:00	1.66968E-18	3.50498E-09	5.52326E-09	8.30565E-08
6/28	24:00:00	1.37953E-18	6.37874E-09	4.37708E-09	1.27076E-06
6/29	24:00:00	1.03747E-18	9.31894E-09	1.25415E-09	1.74419E-06
6/30	24:00:00	9.03332E-19	5.83056E-09	8.30565E-12	8.30565E-09
