Column1	Column2	Column3	Column4	Column5	Column6	Column7
SpeciesFile ContamW 2.0						
						
1/1	!start-of-file date					
1/30	!end-of-file date					
5						
PM2.5						
PM10						
NO2						
SO2						
CO						
						
!Date	Time	PM2.5	PM10	NO2	SO2	CO
1/1	00:00:00	3.70995E-18	0	0	2.46678E-09	0
1/1	24:00:00	2.8145E-18	0	0	5.54817E-09	0
1/2	24:00:00	2.17862E-18	0	0	5.98837E-09	0
1/3	24:00:00	2.67045E-18	0	0	6.16279E-09	0
1/4	24:00:00	1.9234E-18	0	0	6.92691E-09	0
1/5	24:00:00	2.42569E-18	0	0	5.27409E-09	0
1/6	24:00:00	1.46732E-18	0	0	2.14286E-09	0
1/7	24:00:00	1.94379E-18	0	0	2.62458E-09	0
1/8	24:00:00	1.29377E-18	0	0	5.09136E-09	0
1/9	24:00:00	1.76467E-18	0	0	7.201E-09	0
1/10	24:00:00	2.6536E-18	0	0	1.21595E-08	0
1/11	24:00:00	4.00989E-18	0	0	8.46346E-09	0
1/12	24:00:00	2.52273E-18	0	0	1.73588E-09	0
1/13	24:00:00	1.44965E-18	0	0	7.15947E-09	0
1/14	24:00:00	1.45563E-18	0	0	5.60631E-09	0
1/15	24:00:00	1.50456E-18	0	0	5.1495E-09	0
1/16	24:00:00	1.0853E-18	0	0	5.39037E-09	0
1/17	24:00:00	1.93536E-18	0	0	3.87874E-09	0
1/18	24:00:00	1.70175E-18	0	0	8.98671E-09	0
1/19	24:00:00	3.0965E-18	0	0	5.77243E-09	0
1/20	24:00:00	2.60739E-18	0	0	2.92359E-09	0
1/21	24:00:00	2.94782E-18	0	0	5.11628E-09	0
1/22	24:00:00	1.76304E-18	0	0	5.57309E-09	0
1/23	24:00:00	1.53731E-18	0	0	7.59967E-09	0
1/24	24:00:00	2.20961E-18	0	0	9.27741E-09	0
1/25	24:00:00	1.65378E-18	0	0	5.40698E-09	0
1/26	24:00:00	1.5066E-18	0	0	4.21096E-09	0
1/27	24:00:00	7.28564E-19	0	0	2.74086E-09	0
1/28	24:00:00	1.0073E-18	0	0	3.43023E-09	0
1/29	24:00:00	2.04925E-18	0	0	1.19934E-08	0
1/30	24:00:00	1.50673E-18	0	0	8.04817E-09	0
1/31	24:00:00	1.50931E-18	0	0	6.62791E-09	0
2/1	24:00:00	1.41513E-18	0	0	5.41528E-09	0
2/2	24:00:00	1.63896E-18	0	0	7.56645E-09	0
2/3	24:00:00	1.62891E-18	0	0	3.21429E-09	0
2/4	24:00:00	2.16191E-18	0	0	1.00748E-08	0
2/5	24:00:00	1.00186E-18	0	0	8.49668E-09	0
2/6	24:00:00	1.60553E-18	0	0	9.09468E-09	0
2/7	24:00:00	1.57441E-18	0	0	1.0706E-08	0
2/8	24:00:00	1.27407E-18	0	0	7.51661E-09	0
2/9	24:00:00	1.96023E-18	0	0	8.32226E-09	0
2/10	24:00:00	3.22846E-18	0	0	9.12791E-09	0
2/11	24:00:00	2.34184E-18	0	0	1.02492E-08	0
2/12	24:00:00	1.2545E-18	0	0	7.60797E-09	0
2/13	24:00:00	1.02388E-18	0	0	4.82558E-09	0
2/14	24:00:00	9.71962E-19	0	0	9.82558E-09	0
2/15	24:00:00	1.45699E-18	0	0	1.41694E-08	0
2/16	24:00:00	1.59425E-18	0	0	1.1196E-08	0
2/17	24:00:00	1.17418E-18	0	0	1.24917E-08	0
2/18	24:00:00	9.65846E-19	0	0	6.95183E-09	0
2/19	24:00:00	8.66367E-19	0	0	2.73256E-09	0
2/20	24:00:00	0	0	0	#VALUE!	0
2/21	24:00:00	0	0	0	#VALUE!	0
2/22	24:00:00	0	0	0	#VALUE!	0
2/23	24:00:00	2.98302E-19	0	0	7.26744E-09	0
2/24	24:00:00	4.217E-19	0	0	1.08306E-08	0
2/25	24:00:00	5.37487E-19	0	0	6.33721E-09	0
2/26	24:00:00	4.12051E-19	0	0	3.16445E-09	0
2/27	24:00:00	4.11507E-19	0	0	1.96013E-09	0
2/28	24:00:00	4.36241E-19	0	0	1.79402E-09	0
2/29	24:00:00	5.96468E-19	0	0	1.90199E-09	0
3/1	24:00:00	1.68136E-18	0	0	4.79236E-09	0
3/2	24:00:00	1.49504E-18	0	0	6.93522E-09	0
3/3	24:00:00	6.88609E-19	0	0	4.4186E-09	0
3/4	24:00:00	2.71258E-19	0	0	5.5814E-09	0
3/5	24:00:00	1.68653E-19	0	0	9.96678E-10	0
3/6	24:00:00	3.20454E-19	0	0	1.83555E-09	0
3/7	24:00:00	3.2589E-19	0	0	5.57309E-09	0
3/8	24:00:00	3.97781E-19	0	0	4.79236E-09	0
3/9	24:00:00	3.84871E-19	0	0	3.96179E-09	0
3/10	24:00:00	3.46275E-19	0	0	2.27575E-09	0
3/11	24:00:00	6.37646E-19	0	0	2.68272E-09	0
3/12	24:00:00	9.62449E-19	0	0	3.96179E-09	0
3/13	24:00:00	3.95879E-19	0	0	2.98173E-09	0
3/14	24:00:00	4.29446E-19	0	0	6.57807E-09	0
3/15	24:00:00	4.11779E-19	0	0	6.68605E-09	0
3/16	24:00:00	3.99956E-19	0	0	1.14867E-08	0
3/17	24:00:00	6.05302E-19	0	0	1.11794E-08	0
3/18	24:00:00	6.72709E-19	0	0	9.78405E-09	0
3/19	24:00:00	5.66706E-19	0	0	6.41196E-09	0
3/20	24:00:00	3.56875E-19	0	0	7.27575E-09	0
3/21	24:00:00	4.13954E-19	0	0	4.72591E-09	0
3/22	24:00:00	3.3717E-19	0	0	4.59302E-09	0
3/23	24:00:00	4.25505E-19	0	0	0.000000005	0
3/24	24:00:00	3.01156E-19	0	0	2.54983E-09	0
3/25	24:00:00	0	0	0	#VALUE!	0
3/26	24:00:00	0	0	0	#VALUE!	0
3/27	24:00:00	0	0	0	#VALUE!	0
3/28	24:00:00	0	0	0	#VALUE!	0
3/29	24:00:00	0	0	0	#VALUE!	0
3/30	24:00:00	0	0	0	#VALUE!	0
3/31	24:00:00	1.08856E-19	0	0	2.59136E-09	0
4/1	24:00:00	6.63603E-19	0	0	3.21429E-09	0
4/2	24:00:00	6.23241E-19	0	0	3.3804E-09	0
4/3	24:00:00	5.62357E-19	0	0	3.26412E-09	0
4/4	24:00:00	5.72142E-19	0	0	4.28571E-09	0
4/5	24:00:00	5.86955E-19	0	0	4.12791E-09	0
4/6	24:00:00	5.11802E-19	0	0	4.34385E-09	0
4/7	24:00:00	4.66275E-19	0	0	3.27243E-09	0
4/8	24:00:00	4.56355E-19	0	0	3.60465E-09	0
4/9	24:00:00	5.32323E-19	0	0	3.95349E-09	0
4/10	24:00:00	6.59662E-19	0	0	5.05814E-09	0
4/11	24:00:00	4.98212E-19	0	0	4.06146E-09	0
4/12	24:00:00	6.99617E-19	0	0	5.56478E-09	0
4/13	24:00:00	7.1973E-19	0	0	5.71429E-09	0
4/14	24:00:00	1.08884E-18	0	0	9.97508E-09	0
4/15	24:00:00	8.67183E-19	0	0	6.41196E-09	0
4/16	24:00:00	5.39934E-19	0	0	4.08638E-09	0
4/17	24:00:00	5.32595E-19	0	0	3.76246E-09	0
4/18	24:00:00	5.16423E-19	0	0	3.34718E-09	0
4/19	24:00:00	5.7554E-19	0	0	5.2907E-09	0
4/20	24:00:00	6.50421E-19	0	0	4.24419E-09	0
4/21	24:00:00	6.37646E-19	0	0	4.65116E-09	0
4/22	24:00:00	7.93796E-19	0	0	8.80399E-09	0
4/23	24:00:00	4.90873E-19	0	0	7.49169E-09	0
4/24	24:00:00	6.69175E-19	0	0	5.49834E-09	0
4/25	24:00:00	6.22969E-19	0	0	1.96761E-08	0
4/26	24:00:00	5.19277E-19	0	0	5.08306E-09	0
4/27	24:00:00	6.02584E-19	0	0	5.08306E-09	0
4/28	24:00:00	7.96514E-19	0	0	6.16279E-09	0
4/29	24:00:00	1.05799E-18	0	0	6.82724E-09	0
4/30	24:00:00	1.17935E-18	0	0	7.95681E-09	0
5/1	24:00:00	7.55064E-19	0	0	2.15698E-08	0
5/2	24:00:00	6.20115E-19	0	0	2.55814E-09	0
5/3	24:00:00	4.3298E-19	0	0	3.06478E-09	0
5/4	24:00:00	5.71734E-19	0	0	4.05316E-09	0
5/5	24:00:00	6.00545E-19	0	0	4.8505E-09	0
5/6	24:00:00	5.15743E-19	0	0	3.01495E-09	0
5/7	24:00:00	5.26751E-19	0	0	4.45183E-09	0
5/8	24:00:00	5.22946E-19	0	0	4.51827E-09	0
5/9	24:00:00	5.04735E-19	0	0	3.48837E-09	0
5/10	24:00:00	4.6845E-19	0	0	3.0897E-09	0
5/11	24:00:00	5.27567E-19	0	0	3.49668E-09	0
5/12	24:00:00	5.55154E-19	0	0	4.84219E-09	0
5/13	24:00:00	5.75268E-19	0	0	5.40698E-09	0
5/14	24:00:00	5.08541E-19	0	0	8.33887E-09	0
5/15	24:00:00	6.44577E-19	0	0	7.49169E-09	0
5/16	24:00:00	8.42177E-19	0	0	9.01163E-09	0
5/17	24:00:00	7.54249E-19	0	0	7.45017E-09	0
5/18	24:00:00	8.2084E-19	0	0	1.11877E-08	0
5/19	24:00:00	6.96899E-19	0	0	6.81894E-09	0
5/20	24:00:00	6.03127E-19	0	0	1.13372E-08	0
5/21	24:00:00	6.53547E-19	0	0	0.00000002	0
5/22	24:00:00	1.12811E-18	0	0	2.549E-08	0
5/23	24:00:00	6.51372E-19	0	0	1.05648E-08	0
5/24	24:00:00	5.84781E-19	0	0	1.02741E-08	0
5/25	24:00:00	7.9067E-19	0	0	1.17276E-08	0
5/26	24:00:00	7.58326E-19	0	0	6.77741E-09	0
5/27	24:00:00	7.91486E-19	0	0	2.75748E-09	0
5/28	24:00:00	4.83807E-19	0	0	1.78987E-08	0
5/29	24:00:00	4.32708E-19	0	0	1.24585E-08	0
5/30	24:00:00	4.90602E-19	0	0	2.15116E-09	0
5/31	24:00:00	5.08541E-19	0	0	2.65781E-09	0
6/1	24:00:00	5.57872E-19	0	0	3.28904E-09	0
6/2	24:00:00	6.83717E-19	0	0	4.4186E-09	0
6/3	24:00:00	7.73547E-19	0	0	3.6794E-09	0
6/4	24:00:00	6.12369E-19	0	0	2.96512E-09	0
6/5	24:00:00	5.30964E-19	0	0	2.54983E-09	0
6/6	24:00:00	6.82358E-19	0	0	4.16944E-09	0
6/7	24:00:00	7.52482E-19	0	0	4.65116E-09	0
6/8	24:00:00	7.5289E-19	0	0	4.84219E-09	0
6/9	24:00:00	9.67749E-19	0	0	5.64784E-09	0
6/10	24:00:00	7.19323E-19	0	0	3.72093E-09	0
6/11	24:00:00	8.00999E-19	0	0	2.23422E-09	0
6/12	24:00:00	7.43649E-19	0	0	3.0897E-09	0
6/13	24:00:00	7.90127E-19	0	0	2.03488E-09	0
6/14	24:00:00	9.78213E-19	0	0	3.99502E-09	0
6/15	24:00:00	9.37036E-19	0	0	3.06478E-09	0
6/16	24:00:00	7.52075E-19	0	0	2.53322E-09	0
6/17	24:00:00	6.30851E-19	0	0	2.59136E-09	0
6/18	24:00:00	7.43241E-19	0	0	1.29568E-09	0
6/19	24:00:00	7.27884E-19	0	0	2.77409E-09	0
6/20	24:00:00	6.33705E-19	0	0	3.70432E-09	0
6/21	24:00:00	6.23241E-19	0	0	2.14286E-09	0
6/22	24:00:00	5.89266E-19	0	0	1.44518E-09	0
6/23	24:00:00	7.07363E-19	0	0	1.24585E-09	0
6/24	24:00:00	1.15393E-18	0	0	2.88206E-09	0
6/25	24:00:00	1.58854E-18	0	0	2.07641E-09	0
6/26	24:00:00	1.41636E-18	0	0	4.16944E-09	0
6/27	24:00:00	1.66968E-18	0	0	5.52326E-09	0
6/28	24:00:00	1.37953E-18	0	0	4.37708E-09	0
6/29	24:00:00	1.03747E-18	0	0	1.25415E-09	0
6/30	24:00:00	9.03332E-19	0	0	8.30565E-12	0
7/1	24:00:00	1.27176E-18	0	0	1.66113E-11	0
7/2	24:00:00	1.24893E-18	0	0	1.66113E-11	0
7/3	24:00:00	7.89176E-19	0	0	1.66113E-11	0
7/4	24:00:00	4.88971E-19	0	0	8.30565E-12	0
7/5	24:00:00	1.0762E-18	0	0	8.30565E-12	0
7/6	24:00:00	5.37351E-19	0	0	2.32558E-10	0
7/7	24:00:00	6.33841E-19	0	0	1.66113E-11	0
7/8	24:00:00	7.66616E-19	0	0	3.98671E-10	0
7/9	24:00:00	1.09563E-18	0	0	7.47508E-10	0
7/10	24:00:00	8.32528E-19	0	0	3.8206E-10	0
7/11	24:00:00	7.02879E-19	0	0	2.99003E-10	0
7/12	24:00:00	9.34861E-19	0	0	3.90365E-10	0
7/13	24:00:00	1.03529E-18	0	0	7.14286E-10	0
7/14	24:00:00	9.54295E-19	0	0	4.31894E-10	0
7/15	24:00:00	6.27046E-19	0	0	6.64452E-10	0
7/16	24:00:00	7.499E-19	0	0	3.8206E-10	0
7/17	24:00:00	7.28428E-19	0	0	9.05316E-10	0
7/18	24:00:00	8.10512E-19	0	0	1.3206E-09	0
7/19	24:00:00	7.00432E-19	0	0	9.38538E-10	0
7/20	24:00:00	5.71598E-19	0	0	4.06977E-10	0
7/21	24:00:00	7.06004E-19	0	0	5.98007E-10	0
7/22	24:00:00	1.07511E-18	0	0	6.39535E-10	0
7/23	24:00:00	8.17307E-19	0	0	3.73754E-10	0
7/24	24:00:00	5.83558E-19	0	0	4.23588E-10	0
7/25	24:00:00	6.87522E-19	0	0	3.8206E-10	0
7/26	24:00:00	9.65711E-19	0	0	9.80066E-10	0
7/27	24:00:00	1.25518E-18	0	0	7.30897E-10	0
7/28	24:00:00	8.02494E-19	0	0	4.48505E-10	0
7/29	24:00:00	8.66095E-19	0	0	3.65449E-10	0
7/30	24:00:00	9.95337E-19	0	0	7.97342E-10	0
7/31	24:00:00	6.20523E-19	0	0	7.22591E-10	0
8/1	24:00:00	1.07321E-18	0	0	9.38538E-10	0
8/2	24:00:00	7.94612E-19	0	0	6.14618E-10	0
8/3	24:00:00	8.646E-19	0	0	6.14618E-10	0
8/4	24:00:00	8.09425E-19	0	0	7.97342E-10	0
8/5	24:00:00	4.20205E-19	0	0	4.90033E-10	0
8/6	24:00:00	6.4947E-19	0	0	5.39867E-10	0
8/7	24:00:00	8.53864E-19	0	0	9.05316E-10	0
8/8	24:00:00	9.00478E-19	0	0	4.90033E-10	0
8/9	24:00:00	1.09713E-18	0	0	4.48505E-10	0
8/10	24:00:00	9.67885E-19	0	0	9.88372E-10	0
8/11	24:00:00	7.20138E-19	0	0	7.80731E-10	0
8/12	24:00:00	7.41338E-19	0	0	1.35382E-09	0
8/13	24:00:00	9.0374E-19	0	0	4.73422E-10	0
8/14	24:00:00	3.61088E-19	0	0	9.5515E-10	0
8/15	24:00:00	4.57578E-19	0	0	7.39203E-10	0
8/16	24:00:00	7.51939E-19	0	0	4.48505E-10	0
8/17	24:00:00	1.06954E-18	0	0	6.22924E-10	0
8/18	24:00:00	5.58824E-19	0	0	2.5E-09	0
8/19	24:00:00	2.3538E-19	0	0	8.88704E-10	0
8/20	24:00:00	2.93953E-19	0	0	1.37874E-09	0
8/21	24:00:00	2.99797E-19	0	0	3.40532E-10	0
